count,genome
118,"(1,0,{1},{},[S_1,S_12,S_23])"
118,"(1,2,{1,3},{},[S_1,S_12,S_23,S_2⊕1,S_3⊕1,S_8])"
118,"(3,1,{0},{0,2},[S_1⊕1,S_2⊕1,S_5])"
118,"(3,4,{0,3},{},[S_1,S_1⊕1,S_5,S_7,S_8])"
117,"(1,4,{1,2},{},[(2,2,{0},{1}),S_1,S_27,S_2⊕1,S_3⊕1])"
116,"(1,0,{1,2,3},{},[(2,3,{0},{0,1}),S_1,S_12,S_12⊕2,S_21,S_7,S_9])"
116,"(3,1,{0,2},{},[S_16,S_1⊕1,S_2⊕1,S_7])"
115,"(1,4,{2,3},{},[S_1,S_12,S_2⊕1,S_3⊕1,S_5])"
115,"(3,4,{1,3},{},[S_1,S_1⊕1,S_2⊕1,S_5,S_8,S_9])"
114,"(1,4,{1,2},{},[S_1,S_12,S_22,S_23,S_2⊕1,S_4,S_8])"
114,"(2,0,{1},{1,3},[(3,1,{0},{0,2}),S_2,S_3⊕1])"
114,"(3,2,{0,3},{},[S_1,S_18,S_1⊕1,S_2⊕1,S_8])"
113,"(1,0,{1,3},{},[(2,3,{0},{0,1}),S_1,S_12,S_12⊕2,S_21])"
113,"(1,0,{1,3},{},[(3,1,{0,2,3},{}),(3,1,{0,2},{}),(3,1,{0,3},{}),(3,3,{0},{0,1,2}),S_1,S_12,S_12⊕2,S_14,S_21,S_6])"
113,"(1,0,{1,3},{},[S_1,S_21,S_3⊕1,S_6])"
113,"(1,0,{1},{},[S_1,S_12,S_23,S_6,S_8])"
113,"(2,2,{1,3},{},[(3,3,{0},{0,1}),S_1,S_12,S_2,S_27,S_2⊕1,S_3⊕1])"
113,"(3,2,{3},{},[S_1,S_1⊕1,S_2⊕1,S_5,S_8])"
112,"(1,0,{1,2,3},{},[(3,1,{0,3},{}),(3,1,{0},{0,2}),S_1,S_12⊕2,S_21,S_6])"
112,"(1,1,{3},{},[S_12,S_2⊕1,S_4,S_9])"
112,"(1,2,{0,1,3},{},[S_12,S_14,S_19,S_21,S_23,S_6,S_8])"
112,"(1,2,{1},{},[S_1,S_12,S_19,S_23,S_3⊕1])"
112,"(1,2,{3},{0},[S_1,S_23,S_3⊕1,S_5])"
112,"(3,1,{0},{0,2},[S_1⊕1,S_2⊕1,S_3,S_5])"
112,"(3,2,{1,3},{},[S_1⊕1,S_3⊕1,S_6,S_8])"
112,"(3,2,{3},{},[S_1,S_15,S_1⊕1,S_5,S_8])"
112,"(4,0,{1,2,3,4},{},[(3,1,{0,2,3},{}),(3,4,{0,1,3},{}),S_1,S_12,S_18,S_18⊕1,S_2,S_8])"
111,"(1,2,{0,1,3},{},[S_12,S_18,S_19,S_21,S_23,S_6,S_8])"
111,"(1,2,{3},{0,3},[(2,3,{0},{0,1}),(3,1,{0},{0,2}),(3,3,{0},{0,1,2}),(3,3,{2},{0,1,2}),S_19,S_2⊕1,S_3⊕1])"
111,"(1,4,{1,3},{},[S_1,S_12,S_4,S_5,S_9])"
111,"(4,0,{1,2,3,4},{},[(3,1,{0,3},{}),(3,4,{0,1,3},{}),S_1,S_12,S_18,S_5⊕1,S_7⊕1,S_8])"
110,"(1,2,{1,3},{},[S_12,S_21,S_2⊕1,S_4,S_6,S_8])"
110,"(4,0,{1,3,4},{},[(3,1,{0,2,3},{}),(3,3,{2},{0,2}),(3,4,{0,3},{}),S_1,S_18,S_18⊕1,S_7⊕1,S_8])"
109,"(1,0,{1,3},{},[S_1,S_23,S_6,S_7])"
109,"(1,1,{3},{0,2},[(2,3,{0},{0,1}),(2,3,{2},{0,1}),S_2⊕1,S_3⊕1])"
